pdb_id	PDBbind_v18_subset	PLANet_v18	PDBbind_v18_subset_union_PLANet_v18
6ek3	0.4482758620689655	0.5	0.5
6fe0	0.2807017543859649	0.3333333333333333	0.3333333333333333
5vnd	0.7733333333333333	0.6666666666666666	0.7733333333333333
6dqb	0.3902439024390244	0.30985915492957744	0.3902439024390244
6faf	0.42857142857142855	0.4782608695652174	0.4782608695652174
6eum	0.4857142857142857	0.38461538461538464	0.4857142857142857
6eeh	0.5208333333333334	0.5714285714285714	0.5714285714285714
6e9w	0.38461538461538464	0.39285714285714285	0.39285714285714285
6f3b	0.43137254901960786	0.5416666666666666	0.5416666666666666
6bky	0.26666666666666666	0.22580645161290322	0.26666666666666666
6dud	0.3968253968253968	0.3793103448275862	0.3968253968253968
6c2y	0.48484848484848486	0.4519230769230769	0.48484848484848486
6d5g	0.32	0.24050632911392406	0.32
6eis	0.27380952380952384	0.3	0.3
6hdo	0.42424242424242425	0.4838709677419355	0.4838709677419355
6cmr	0.3968253968253968	0.5172413793103449	0.5172413793103449
6eqv	0.9206349206349206	0.6527777777777778	0.9206349206349206
6elp	0.2727272727272727	0.32857142857142857	0.32857142857142857
6guf	0.4533333333333333	0.5846153846153846	0.5846153846153846
5nxi	0.6	0.7096774193548387	0.7096774193548387
6c5q	0.297029702970297	0.3977272727272727	0.3977272727272727
6dar	0.3333333333333333	0.37349397590361444	0.37349397590361444
6b1k	0.54	0.54	0.54
5wzv	0.32	0.8333333333333334	0.8333333333333334
5y0f	0.3582089552238806	0.423728813559322	0.423728813559322
6bgw	0.32608695652173914	0.28421052631578947	0.32608695652173914
5g5v	0.25301204819277107	0.3368421052631579	0.3368421052631579
5y0g	0.36065573770491804	0.4745762711864407	0.4745762711864407
6ciy	0.48514851485148514	0.6781609195402298	0.6781609195402298
6g5j	0.2948717948717949	0.34615384615384615	0.34615384615384615
5ya5	0.2857142857142857	0.42857142857142855	0.42857142857142855
6etj	0.4	0.4032258064516129	0.4032258064516129
6fo5	0.28421052631578947	0.676056338028169	0.676056338028169
5j27	0.25316455696202533	0.2876712328767123	0.2876712328767123
5xsu	0.3	0.32051282051282054	0.32051282051282054
5za9	0.3559322033898305	0.3382352941176471	0.3559322033898305
6di1	0.3023255813953488	0.4342105263157895	0.4342105263157895
6htz	0.39655172413793105	0.46153846153846156	0.46153846153846156
5nr8	0.2608695652173913	0.2835820895522388	0.2835820895522388
6f9v	0.40476190476190477	0.3473684210526316	0.40476190476190477
5uzj	0.4852941176470588	0.7931034482758621	0.7931034482758621
5zaf	0.38181818181818183	0.3181818181818182	0.38181818181818183
5nrf	0.2698412698412698	0.2698412698412698	0.2698412698412698
6ej4	0.43636363636363634	0.5714285714285714	0.5714285714285714
5wlt	0.5	0.627906976744186	0.627906976744186
5w8i	0.3382352941176471	0.3382352941176471	0.3382352941176471
5ylv	0.3333333333333333	0.3333333333333333	0.3333333333333333
6bgy	0.24742268041237114	0.2916666666666667	0.2916666666666667
6fyp	0.5230769230769231	0.8269230769230769	0.8269230769230769
5j64	0.39215686274509803	0.39215686274509803	0.39215686274509803
6d5e	0.3037974683544304	0.25961538461538464	0.3037974683544304
6eox	0.3898305084745763	0.4339622641509434	0.4339622641509434
6fqo	0.35064935064935066	0.35064935064935066	0.35064935064935066
6cis	0.44761904761904764	0.6702127659574468	0.6702127659574468
6gl9	0.46511627906976744	0.6811594202898551	0.6811594202898551
5h4j	0.40540540540540543	0.6027397260273972	0.6027397260273972
6glb	0.6666666666666666	0.6666666666666666	0.6666666666666666
5nra	0.23684210526315788	0.2638888888888889	0.2638888888888889
6hu0	0.3584905660377358	0.4444444444444444	0.4444444444444444
6bsk	0.5757575757575758	0.5757575757575758	0.5757575757575758
6d5h	0.38028169014084506	0.325	0.38028169014084506
6hsz	0.5625	0.7027027027027027	0.7027027027027027
6b1c	0.4722222222222222	0.5074626865671642	0.5074626865671642
6bl1	0.30434782608695654	0.35443037974683544	0.35443037974683544
5zag	0.40384615384615385	0.3384615384615385	0.40384615384615385
6c5t	0.29896907216494845	0.3488372093023256	0.3488372093023256
6eif	0.42857142857142855	0.5777777777777777	0.5777777777777777
5g2b	0.30952380952380953	0.3548387096774194	0.3548387096774194
5l8c	0.3048780487804878	0.3333333333333333	0.3333333333333333
5mwy	0.4473684210526316	0.4473684210526316	0.4473684210526316
6hdq	0.5824175824175825	0.7439024390243902	0.7439024390243902
6fs1	0.48	0.7272727272727273	0.7272727272727273
6hti	0.34285714285714286	0.39622641509433965	0.39622641509433965
6b2c	0.44	0.5147058823529411	0.5147058823529411
6hsk	0.39436619718309857	0.3541666666666667	0.39436619718309857
6c0s	0.5555555555555556	0.5794392523364486	0.5794392523364486
6f5h	0.550561797752809	0.525	0.550561797752809
6i3s	0.6125	0.42857142857142855	0.6125
5mpn	0.4090909090909091	0.4264705882352941	0.4264705882352941
6hrq	0.38636363636363635	0.38636363636363635	0.38636363636363635
6b5j	0.49122807017543857	0.49122807017543857	0.49122807017543857
6hm7	0.2804878048780488	0.3	0.3
6ht1	0.3023255813953488	0.3333333333333333	0.3333333333333333
